Issue Hubs,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
"Main topical categories, neutral framing, and feedback prompts",,,,,,,,,,,,
,,,,,,,,,,,,
Phase,Build Priority,Issue Hub,Recommended URL,Primary Search / User Intent,Page Purpose,Core Subtopics,Neutral Framing - View A,Neutral Framing - View B,Key Tradeoffs,Universal Feedback Prompt,OpenClaw Implementation Notes,Source URLs
Phase 1,1,"Housing, Homelessness & Affordability",/issues/housing-homelessness-affordability,"Oregon homelessness, affordable housing, rent, shelter, zoning, land use",Create the largest issue hub on the site; explain why housing and homelessness matter without taking a fixed position.,Homelessness; shelter capacity; street camping; transitional housing; permanent supportive housing; rent prices; evictions; rental assistance; first-time homebuyers; zoning reform; urban growth boundaries; manufactured housing; senior housing; rural housing; construction costs; permitting; short-term rentals; property taxes; local vs state responsibility.,"Some residents want more state action: shelters, prevention, affordable housing, mental health/addiction services, rent relief, and faster construction.","Others worry about cost, accountability, neighborhood impacts, public camping, land-use protections, and whether programs are producing visible results.",Housing supply vs land preservation; compassion vs public order; state funding vs local control; tenant protection vs landlord/property-owner costs.,"What should Oregon prioritize most: more shelter beds, more affordable housing, stricter public camping rules, addiction/mental health services, rent relief, land use reform, or something else?","Add issue explainer, input form, current bills module, and a 'What We’ve Heard So Far' section after feedback exists.",https://www.dhmresearch.com/oregonians-hold-contradicting-views-on-housing-issues/ | https://oregonvbc.org/well-being-the-state-of-us/
Phase 1,2,"Cost of Living, Taxes & Household Affordability",/issues/cost-of-living-taxes,"Oregon cost of living, taxes, household bills, utility costs, fees",Separate household affordability from the general economy so residents can speak directly about pressure on budgets.,Groceries; gas; utilities; auto insurance; home insurance; rent; mortgage pressure; property taxes; income taxes; state fees; gas taxes; vehicle fees; Oregon kicker; local taxes; childcare; healthcare costs; budget priorities; government spending accountability.,"Some residents want lower taxes, fewer fees, and reduced regulation to ease pressure on household budgets.","Others want stable funding for schools, roads, healthcare, housing, and safety-net programs, even when that requires revenue.",Lower taxes vs program funding; short-term relief vs long-term services; spending cuts vs revenue increases.,"When Oregon faces a budget shortfall, should lawmakers prioritize cutting spending, raising revenue, reducing regulations to grow the economy, or restructuring existing programs?","Include a household-budget lens. Add selectable choices for tax relief, spending reform, revenue, and targeted assistance.",https://oregonbusinessindustry.com/januarypoll/ | https://oregonvbc.org/well-being-the-state-of-us/
Phase 1,3,"Healthcare, Mental Health & Addiction",/issues/healthcare-mental-health-addiction,"Oregon healthcare, Medicaid, mental health, addiction treatment, fentanyl, Measure 110","Unify healthcare access, behavioral health, treatment, and addiction policy while separating facts from opinion.",Oregon Health Plan; Medicaid; healthcare affordability; rural healthcare; hospitals; provider shortages; nursing shortages; behavioral health workforce; crisis response; treatment beds; detox; recovery; fentanyl; overdose prevention; Measure 110; HB 4002; deflection; youth mental health; suicide prevention; maternal health; reproductive healthcare; senior care; long-term care; insurance costs.,"Some residents want more treatment access, prevention, Medicaid stability, crisis response, and rural healthcare support.","Others emphasize cost control, program accountability, public disorder, uneven implementation, and whether treatment systems are producing measurable results.",Treatment vs enforcement; access vs cost; statewide standards vs county-level implementation; prevention vs consequences.,"Should Oregon focus more on treatment access, law enforcement accountability, deflection programs, Medicaid stability, rural healthcare, or cost control?","Add a plain-language explanation of Measure 110, HB 4002, deflection, and treatment capacity. Avoid framing one side as uncaring.",https://www.oregon.gov/oha/ERD/Documents/OHA-2025-End-of-Session-Legislative-Report.pdf | https://www.oregon.gov/oha/erd/pages/oregon-to-receive-%24197.3m-federal-investment-in-rural-healthcare.aspx | https://sos.oregon.gov/audits/Documents/2025-29.pdf
Phase 1,4,"Public Safety, Justice & Community Trust",/issues/public-safety-justice,"Oregon public safety, crime, police, courts, victims, public defense","Connect safety, justice, addiction, law enforcement, courts, and civil liberties in a balanced issue hub.",Property crime; violent crime; drug-related disorder; fentanyl enforcement; deflection vs arrest; police staffing; police accountability; jail capacity; public defense crisis; court backlogs; victim services; domestic violence; juvenile justice; reentry; probation; community violence prevention; emergency response; fire/EMS; school safety; human trafficking; hate crimes.,"Some residents want stronger enforcement, faster consequences, and more visible public safety.","Others want prevention, treatment, accountability, civil-rights protections, and alternatives to incarceration when appropriate.",Public order vs civil liberties; enforcement vs treatment; victim support vs offender rehabilitation; police capacity vs police accountability.,"What balance should Oregon strike between enforcement, treatment, prevention, victim support, police accountability, and court capacity?","Use neutral terms such as 'residents disagree on the best balance.' Add separate pathways for victims, families, business owners, and service providers to submit stories.",https://sos.oregon.gov/audits/Documents/2025-29.pdf | https://www.pdx.edu/news/psu-researchers-release-final-report-landmark-project-exploring-impacts-measure-110
Phase 1,5,"Education, Schools, Youth & Workforce Training",/issues/education-youth-workforce,"Oregon schools, education funding, student outcomes, workforce training","Cover both education funding and results, while giving parents, teachers, students, and employers a voice.",K-12 funding; funding formula; reading; math; graduation; class sizes; teacher shortages; teacher pay; special education; school safety; student mental health; cell phones; career and technical education; apprenticeships; community colleges; higher education affordability; student debt; rural schools; transportation; nutrition; after-school programs; parent involvement; curriculum transparency; early childhood education; childcare; pre-K.,"Some residents believe schools need more stable funding, smaller classes, more teachers, and more support staff.","Others believe the main issues are accountability, curriculum, administrative spending, transparency, or whether increased funding improves outcomes.",Funding vs accountability; state standards vs local control; parent input vs professional curriculum decisions; college pathways vs trades.,"What should Oregon prioritize first in education: funding, accountability, teacher retention, career training, student safety, parent involvement, or academic outcomes?","Create feedback paths for parents, teachers, students, and employers. Add CTE/workforce pages so this does not become only a K-12 hub.",https://www.oregon.gov/ode/about-us/pages/education%20update%20pages/apr2026edupdate.aspx
Phase 1,6,"Transportation, Roads & Infrastructure",/issues/transportation-infrastructure,"Oregon transportation funding, road maintenance, gas tax, vehicle fees, ODOT","Explain roads, bridges, fees, transportation funding, and local infrastructure in plain language.",Road maintenance; potholes; State Highway Fund; gas taxes; vehicle fees; ODOT funding; county roads; rural roads; bridges; seismic upgrades; transit; freight; trucking; bike/pedestrian safety; school transportation; EV charging; broadband; water/sewer infrastructure; ports; rail; airports; emergency routes; infrastructure accountability.,"Some residents want stable funding to maintain roads, bridges, transit, and emergency routes.","Others oppose higher gas taxes and fees, especially while household costs are already rising.",Road maintenance vs tax/fee increases; urban transit vs rural roads; current maintenance vs future infrastructure; convenience vs cost.,"Would you support higher transportation taxes or fees if they were dedicated to road maintenance, or should Oregon find another way to fund infrastructure?","Add a 'where should money go?' input tool: local roads, highways, bridges, transit, freight, safety, rural access, or audits first.",https://oregoncounties.org/transportation-funding-bill-set-to-pass-in-special-session/
Phase 1,7,"Wildfire, Drought, Water & Emergency Resilience",/issues/wildfire-drought-water,"Oregon wildfire, drought, water rights, snowpack, irrigation, emergency readiness","Create a major hub for wildfire, water, drought, insurance, smoke, emergency response, and natural-resource conflict.",Wildfire prevention; forest management; fuel reduction; prescribed burns; suppression funding; firefighter staffing; home hardening; insurance; smoke; air quality; evacuation; disaster shelters; rural fire districts; drought declarations; snowpack; irrigation; water rights; groundwater; drinking water; Klamath Basin; fish/farms/cities water conflicts; emergency communication.,"Some residents want more aggressive forest management, fuel reduction, and protection for rural property owners.","Others want climate resilience, ecosystem protections, water conservation, and limits on risky development.",Farms vs fish vs cities; property protection vs ecosystem protection; prevention vs suppression; insurance cost vs risk exposure.,"When water or wildfire resources are limited, how should Oregon balance farms, homes, forests, fish, cities, and rural communities?","Use regional examples carefully. Add a feedback field asking whether the user is rural, urban, agricultural, forest-adjacent, or affected by smoke/fire.",https://www.oregonlegislature.gov/lpro/Publications/Wildfire%20Policy%20Development%202013-2025.pdf | https://www.axios.com/local/portland/2026/05/13/oregon-snow-drought-raises-irrigation-fears
Phase 2,8,"Jobs, Small Business & Oregon's Economy",/issues/jobs-small-business-economy,"Oregon economy, small business costs, jobs, wages, regulations, workforce","Speak to workers, employers, entrepreneurs, rural industries, and people worried about Oregon's economic direction.",Small business costs; permitting; licensing; regulations; employer taxes; workforce shortages; apprenticeships; trades; manufacturing; technology jobs; agriculture; timber; tourism; Main Street businesses; rural development; minimum wage; paid leave; unemployment insurance; striking worker benefits; entrepreneurship; procurement; local businesses; economic development incentives; tariffs; supply chains; business retention.,"Some residents want Oregon to reduce business burdens, taxes, and permitting delays to create jobs.","Others want strong worker protections, paid leave, fair wages, and safeguards against corporate abuse.",Wages vs employer costs; regulation vs business flexibility; job growth vs worker protection; incentives vs public accountability.,"What would help your household or business most: lower taxes, better wages, fewer regulations, workforce training, childcare support, easier permitting, or stronger worker protections?","Create separate form fields for worker, employer, self-employed, unemployed, retired, student, and caregiver perspectives.",https://oregonbusinessindustry.com/januarypoll/
Phase 2,9,"Rural Oregon, Agriculture, Timber & Local Control",/issues/rural-oregon-agriculture-timber,"Rural Oregon, agriculture, timber, local control, rural healthcare, rural roads",Give rural communities their own hub instead of burying rural topics under economy or environment.,Agriculture; irrigation; drought; farm labor; farmworker housing; timber jobs; forest policy; rural roads; broadband; rural schools; rural healthcare; rural hospitals; emergency response; wildfire insurance; property rights; land use restrictions; local control; hunting/fishing; tourism; Main Street rural business; county funding; Tribal communities; coastal fishing communities.,"Some residents want the state to better protect rural jobs, property rights, agriculture, timber, and local decision-making.","Others want statewide standards for land, water, labor, environmental protection, and public health.",Local control vs statewide standards; resource jobs vs conservation; property rights vs shared resources; rural cost burden vs urban policy priorities.,"What do rural communities need most from the Oregon Legislature: water security, healthcare, jobs, roads, wildfire protection, broadband, local control, or something else?","Add location/context fields to feedback. Ask whether a respondent lives in a rural, suburban, small-town, or metro area.",https://www.axios.com/local/portland/2026/05/13/oregon-snow-drought-raises-irrigation-fears | https://www.oregonlegislature.gov/lpro/Publications/Wildfire%20Policy%20Development%202013-2025.pdf
Phase 2,10,"Environment, Land Use, Energy & Natural Resources",/issues/environment-land-use-energy,"Oregon land use, energy, environment, climate, natural resources, urban growth boundary","Cover environmental policy as a tradeoff issue involving conservation, housing, jobs, energy, and property rights.",Land use planning; urban growth boundaries; farm/forest land preservation; housing expansion; renewable energy; energy affordability; grid reliability; carbon policy; climate resilience; natural and working lands; timber; salmon; fish habitat; wildlife; coast; plastic pollution; recycling; air quality; water quality; public lands; recreation access; mining; aggregate resources; environmental permitting.,"Some residents prioritize conservation, climate action, clean water, air quality, habitat, and long-term environmental health.","Others prioritize housing supply, rural jobs, affordable energy, property rights, and regulatory flexibility.",Conservation vs growth; renewable goals vs affordability/reliability; statewide land-use rules vs local flexibility; permitting speed vs safeguards.,"Where should Oregon draw the line between environmental protection, housing growth, rural jobs, and energy affordability?","Cross-link to Housing, Rural Oregon, Wildfire/Water, and Transportation. Add energy affordability as a major subtopic.",https://www.oregon.gov/lcd/NN/Documents/2025_Legislative_Report.pdf
Phase 2,11,"Civil Rights, Personal Freedom & Community Protections",/issues/civil-rights-personal-freedom,"Oregon civil rights, personal freedom, parental rights, gun laws, sanctuary laws, reproductive rights","Frame culture-sensitive issues around freedoms, protections, and tradeoffs rather than partisan labels.",Free speech; religious liberty; reproductive rights; abortion; IVF; contraception; LGBTQ+ rights; gender-affirming care; same-sex marriage protections; parental rights; curriculum transparency; gun rights; gun safety; Measure 114; immigration; sanctuary laws; racial equity; disability rights; Tribal sovereignty; data privacy; digital surveillance; equal protection; hate crimes; public accommodation.,"Some residents focus on protecting individual rights, bodily autonomy, privacy, and equal treatment.","Others focus on parental authority, religious liberty, gun rights, public safety, and limits on government mandates.",Individual liberty vs community safety; privacy vs enforcement; parental rights vs student rights; equal protection vs local discretion.,"Which personal freedoms or community protections do you most want your State Senator to defend, and where do you believe the state should set limits?",Avoid culture-war copy. Use 'residents define freedom and safety differently' as the central frame.,https://www.doj.state.or.us/oregon-department-of-justice/civil-rights/sanctuary-promise/ | https://www.opb.org/article/2025/04/11/firearms-guns-oregon-gun-legislation-regulation-rapid-fire-devices-waiting-period-measure-114/
Phase 2,12,"Government Accountability, Elections & Direct Representation",/issues/government-accountability-elections,"Oregon government accountability, elections, campaign finance, direct representation","Make this the signature campaign issue: how residents guide votes, how input is verified, and how transparency works.",Campaign finance; lobbyist influence; public records; transparency; budget accountability; ethics; legislative accountability; constituent polling; secure feedback; town halls; ballot measures; election security; election access; ranked-choice voting; open primaries; redistricting; public voter guides; plain-language bill summaries; measuring district consensus; preventing manipulation.,"Some residents want more direct democracy, transparency, and limits on money in politics.","Others worry about online polling security, mob rule, low-information voting, or whether representatives need judgment in complex situations.",Direct voter input vs representative judgment; access vs security; transparency vs privacy; speed vs deliberation.,"How should a State Senator measure the will of the district: online polls, town halls, statistically valid surveys, public comments, advisory votes, or a mix?",This page should explain the methodology behind the campaign's interactive feature and how results should be summarized publicly.,https://sos.oregon.gov/elections/Pages/campaign-finance-legislation.aspx | https://oregon-senate.vercel.app/issues
Phase 3,13,"Seniors, Veterans, Disability & Caregiving",/issues/seniors-veterans-disability-caregiving,"Oregon seniors, veterans, disability services, caregiving, long-term care",Create a service-and-support hub for residents who often interact with state programs directly.,Senior housing; long-term care; in-home care; nursing homes; caregiver support; elder abuse; retirement affordability; prescription drug costs; property taxes on seniors; disability services; accessibility; veterans' benefits; rural veteran healthcare; homeless veterans; veteran mental health; transportation for seniors and disabled residents.,"Some residents want more state support for seniors, veterans, caregivers, and people with disabilities.","Others worry about long-term cost, eligibility rules, bureaucracy, and whether programs reach the people who need them most.",Support services vs taxpayer cost; eligibility control vs access; institutional care vs in-home care; state programs vs family/community support.,"What support should Oregon prioritize for seniors, veterans, people with disabilities, and caregivers?","Add story-based input fields because lived experience matters here. Include caregiver, veteran, senior, disabled resident, and family-member respondent options.",https://www.oregon.gov/oha/ERD/Documents/OHA-2025-End-of-Session-Legislative-Report.pdf
Phase 3,14,"Families, Childcare & Community Stability",/issues/families-childcare-community,"Oregon childcare, families, foster care, food insecurity, youth programs","Cover family stability, childcare, foster care, prevention, and community supports.",Childcare affordability; paid family leave; foster care; adoption; family court; domestic violence services; youth programs; food insecurity; community centers; parks; recreation; libraries; local nonprofits; teen mental health; working parents; family homelessness.,"Some residents want more state investment in childcare, families, and prevention programs.","Others want lower costs, less bureaucracy, more local control, or stronger accountability for program outcomes.",Affordability support vs budget impact; state services vs family responsibility; prevention vs crisis response; universal programs vs targeted aid.,"What would make the biggest difference for families in your community: childcare, safety, housing, food, youth programs, paid leave, or local services?","Cross-link to Education, Housing, Healthcare, and Cost of Living. This cluster should feel practical, not ideological.",https://oregonvbc.org/well-being-the-state-of-us/
Phase 3,15,"Technology, Privacy, Cybersecurity & AI in Government",/issues/technology-privacy-ai,"Oregon technology, privacy, cybersecurity, AI in government, digital access",Support the campaign's digital-feedback concept while showing the site takes privacy and manipulation concerns seriously.,Online feedback portals; voter verification; cybersecurity; data privacy; AI in government; algorithmic transparency; government efficiency; digital access; rural broadband; online services; public records modernization; child online safety; digital scams; fraud; privacy protections for health and location data.,"Some residents want modern digital government, faster services, better access, and more efficient public systems.","Others worry about privacy, hacking, surveillance, unequal access, AI bias, and whether online tools can be trusted.",Convenience vs privacy; digital access vs exclusion; AI efficiency vs accountability; open feedback vs manipulation prevention.,"How should Oregon use technology in government while protecting privacy, security, fairness, and public trust?",Add clear data-use language near every feedback form. This page should link to privacy practices for the interactive issue feature.,https://oregon-senate.vercel.app/issues
